City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Ushuaia,AR,40.66,scattered clouds,-54.8,-68.3,Albatross Hotel
2,San Patricio,US,76.84,few clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
3,Banjarmasin,ID,88.72,overcast clouds,-3.3244,114.591,Swiss-Belhotel Borneo Banjarmasin
5,Kayes,ML,73.2,clear sky,14.0,-11.0,
7,Cidreira,BR,62.76,clear sky,-30.1811,-50.2056,Hotel Castelo
8,Hasaki,JP,72.28,few clouds,35.7333,140.8333,Inubosaki Kanko Hotel
9,Bambous Virieux,MU,75.22,clear sky,-20.3428,57.7575,Casa Tia Villa
10,Fairhope,US,65.68,clear sky,30.523,-87.9033,Hampton Inn Fairhope-Mobile Bay
11,Vega De Alatorre,MX,75.36,clear sky,20.0333,-96.6333,Hotel D Luxe
12,Bathsheba,BB,79.41,few clouds,13.2167,-59.5167,Atlantis Hotel
13,Albany,US,44.46,clear sky,42.6001,-73.9662,
14,Kapaa,US,78.48,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
15,Avarua,CK,77.05,broken clouds,-21.2078,-159.775,Paradise Inn
16,Barcelona,ES,60.67,moderate rain,41.3888,2.159,Axel Hotel Barcelona
17,Atuona,PF,77.29,broken clouds,-9.8,-139.0333,Villa Enata
18,Busselton,AU,63.55,overcast clouds,-33.65,115.3333,Observatory Guest House
19,Kahului,US,82.42,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
20,Asau,RO,40.28,broken clouds,46.4333,26.4,Casa Mika Ciobanus
21,Faanui,PF,79.39,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
22,Saldanha,ZA,56.39,clear sky,-33.0117,17.9442,Blue Bay Lodge
24,Kruisfontein,ZA,56.88,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
25,Fare,PF,79.09,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
26,Fortuna,US,45.99,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
27,Lebu,CL,54.59,broken clouds,-37.6167,-73.65,Hostal Las Lilas
28,Camopi,GF,72.3,overcast clouds,3.1655,-52.3158,La pousada
29,Meulaboh,ID,82.0,broken clouds,4.1363,96.1285,Kost Pria
30,Coahuayana,MX,75.15,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
31,Rikitea,PF,73.18,overcast clouds,-23.1203,-134.9692,People ThankYou
32,Jamestown,US,54.99,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
34,Codrington,AU,73.53,moderate rain,-38.2667,141.9667,
35,Plerin,FR,48.43,clear sky,48.5425,-2.7798,Hotel Ker Izel
36,Broome,US,44.98,clear sky,42.2506,-75.833,Chenango Valley State Park
37,Carnarvon,AU,69.91,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
41,Vaini,TO,80.76,broken clouds,-21.2,-175.2,Keleti Beach Resort
42,Chuy,UY,57.4,broken clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
