City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Gobabis,NA,-22.45,18.9667,65.88,28,4,10.71,clear sky
1,Ushuaia,AR,-54.8,-68.3,40.66,60,40,9.22,scattered clouds
2,San Patricio,US,28.017,-97.5169,76.84,76,19,8.97,few clouds
3,Banjarmasin,ID,-3.3244,114.591,88.72,62,88,0.94,overcast clouds
4,Tiksi,RU,71.6872,128.8694,-9.13,96,100,8.57,overcast clouds
5,Kayes,ML,14.0,-11.0,73.2,16,0,1.41,clear sky
6,Saskylakh,RU,71.9167,114.0833,-14.1,97,96,6.44,overcast clouds
7,Cidreira,BR,-30.1811,-50.2056,62.76,87,2,3.56,clear sky
8,Hasaki,JP,35.7333,140.8333,72.28,50,24,17.58,few clouds
9,Bambous Virieux,MU,-20.3428,57.7575,75.22,68,8,9.57,clear sky
10,Fairhope,US,30.523,-87.9033,65.68,67,0,6.91,clear sky
11,Vega De Alatorre,MX,20.0333,-96.6333,75.36,81,0,2.95,clear sky
12,Bathsheba,BB,13.2167,-59.5167,79.41,89,20,13.8,few clouds
13,Albany,US,42.6001,-73.9662,44.46,55,0,3.36,clear sky
14,Kapaa,US,22.0752,-159.319,78.48,75,75,14.97,broken clouds
15,Avarua,CK,-21.2078,-159.775,77.05,73,75,14.97,broken clouds
16,Barcelona,ES,41.3888,2.159,60.67,81,75,4.61,moderate rain
17,Atuona,PF,-9.8,-139.0333,77.29,74,63,17.49,broken clouds
18,Busselton,AU,-33.65,115.3333,63.55,74,99,14.85,overcast clouds
19,Kahului,US,20.8947,-156.47,82.42,67,40,14.97,scattered clouds
20,Asau,RO,46.4333,26.4,40.28,84,51,4.63,broken clouds
21,Faanui,PF,-16.4833,-151.75,79.39,77,99,14.88,light rain
22,Saldanha,ZA,-33.0117,17.9442,56.39,78,0,8.7,clear sky
23,Punta Arenas,CL,-53.15,-70.9167,39.31,70,0,9.22,clear sky
24,Kruisfontein,ZA,-34.0033,24.7314,56.88,76,100,5.79,overcast clouds
